ID,学校名,JS88_URL,郵便番号,住所,高校ホームページ
22035760,青山高等学校,https://school.js88.com/scl_h/22035760/,150-0001,東京都　渋谷区神宮前2-1-8,http://www.aoyama-h.metro.tokyo.jp/
22035770,大田桜台高等学校,https://school.js88.com/scl_h/22035770/,143-0027,東京都　大田区中馬込3-11-10,http://www.oota-sakuradai-h.metro.tokyo.jp
22035810,お茶の水女子大学附属高等学校,https://school.js88.com/scl_h/22035810/,112-8610,東京都　文京区大塚2-1-1,https://www.fz.ocha.ac.jp/fk/
22035880,足立高等学校,https://school.js88.com/scl_h/22035880/,120-0011,東京都　足立区中央本町1-3-9,https://www.metro.ed.jp/adachi-h/
22035890,足立工科高等学校,https://school.js88.com/scl_h/22035890/,123-0841,東京都　足立区西新井4-30-1,https://www.metro.ed.jp/adachikoka-h/
22035900,足立東高等学校,https://school.js88.com/scl_h/22035900/,120-0001,東京都　足立区大谷田2-3-5,https://www.metro.ed.jp/adachihigashi-h
22035910,足立西高等学校,https://school.js88.com/scl_h/22035910/,123-0872,東京都　足立区江北5-7-1,https://www.metro.ed.jp/adachinishi-h/
22035920,荒川工科高等学校,https://school.js88.com/scl_h/22035920/,116-0003,東京都　荒川区南千住6-42-1,https://www.metro.ed.jp/arakawakoka-h/
22035940,井草高等学校,https://school.js88.com/scl_h/22035940/,177-0044,東京都　練馬区上石神井2-2-43,https://www.metro.ed.jp/igusa-h/
22035960,板橋高等学校,https://school.js88.com/scl_h/22035960/,173-0035,東京都　板橋区大谷口1-54-1,https://www.metro.ed.jp/itabashi-h/
22035980,五日市高等学校,https://school.js88.com/scl_h/22035980/,190-0164,東京都　あきる野市五日市894,http://www.itsukaichi-h.metro.tokyo.jp/
22035990,上野高等学校,https://school.js88.com/scl_h/22035990/,110-8717,東京都　台東区上野公園10-14,https://www.metro.ed.jp/ueno-h/
22036020,江戸川高等学校,https://school.js88.com/scl_h/22036020/,132-0031,東京都　江戸川区松島2-38-1,https://www.metro.ed.jp/edogawa-h/
22036030,園芸高等学校,https://school.js88.com/scl_h/22036030/,158-8566,東京都　世田谷区深沢5-38-1,https://www.metro.ed.jp/engei-h/
22036040,大泉高等学校,https://school.js88.com/scl_h/22036040/,178-0063,東京都　練馬区東大泉5-3-1,https://oizumi-h.metro.ed.jp/main/index.html
22036050,大崎高等学校,https://school.js88.com/scl_h/22036050/,142-0042,東京都　品川区豊町2-1-7,http://www.osaki-h.metro.tokyo.jp/
22036080,大島海洋国際高等学校,https://school.js88.com/scl_h/22036080/,100-0211,東京都　大島町差木地字下原,https://www.metro.ed.jp/oosimakaiyokokusai-h/
22036100,大森高等学校,https://school.js88.com/scl_h/22036100/,144-0051,東京都　大田区西蒲田2-2-1,http://www.omori-h.metro.tokyo.jp/
22036110,大山高等学校,https://school.js88.com/scl_h/22036110/,173-0037,東京都　板橋区小茂根5-18-1,https://www.metro.ed.jp/ohyama-h/
22036120,小笠原高等学校,https://school.js88.com/scl_h/22036120/,100-2101,東京都　小笠原村父島字清瀬,http://www.ogasawara-h.metro.tokyo.jp/
22036130,荻窪高等学校（定時制）,https://school.js88.com/scl_h/22036130/,167-0051,東京都　杉並区荻窪5-7-20,https://ogikubo-h.metro.ed.jp/site/tei/
22036150,葛西南高等学校,https://school.js88.com/scl_h/22036150/,134-8555,東京都　江戸川区南葛西1-11-1,http://www.kasaiminami-h.metro.tokyo.jp
22036160,葛西工科高等学校,https://school.js88.com/scl_h/22036160/,132-0024,東京都　江戸川区一之江7-68-1,https://www.metro.ed.jp/kasaikoka-h/
22036240,板橋有徳高等学校,https://school.js88.com/scl_h/22036240/,175-0083,東京都　板橋区徳丸2-17-1,http://www.itabashiyutoku-h.metro.tokyo.jp/
22036970,青梅総合高等学校,https://school.js88.com/scl_h/22036970/,198-0041,東京都　青梅市勝沼1-60-1,https://www.metro.ed.jp/omesogo-h/
22037530,青井高等学校,https://school.js88.com/scl_h/22037530/,120-0012,東京都　足立区青井1-7-35,https://www.metro.ed.jp/aoi-h/
22037680,足立新田高等学校,https://school.js88.com/scl_h/22037680/,123-0865,東京都　足立区新田2-10-16,https://www.metro.ed.jp/adachishinden-h/
22037860,飛鳥高等学校,https://school.js88.com/scl_h/22037860/,114-8561,東京都　北区王子6-8-8,http://www.asuka-h.metro.tokyo.jp/
22037900,大妻高等学校,https://school.js88.com/scl_h/22037900/,102-8357,東京都　千代田区三番町12,https://www.otsuma.ed.jp/
22037910,かえつ有明高等学校,https://school.js88.com/scl_h/22037910/,135-8711,東京都　江東区東雲2-16-1,https://www.ariake.kaetsu.ac.jp/
22038090,開智日本橋学園高等学校,https://school.js88.com/scl_h/22038090/,103-8384,東京都　中央区日本橋馬喰町2-7-6,http://www.kng.ed.jp
22038100,麻布高等学校,https://school.js88.com/scl_h/22038100/,106-0046,東京都　港区元麻布2-3-29,https://www.azabu-jh.ed.jp/about/schoolsong/
22038330,青山学院高等部,https://school.js88.com/scl_h/22038330/,150-8366,東京都　渋谷区渋谷4-4-25,https://www.agh.aoyama.ed.jp/
22038450,跡見学園高等学校,https://school.js88.com/scl_h/22038450/,112-8629,東京都　文京区大塚1-5-9,http://www.atomi.ac.jp/jh/
22038460,郁文館高等学校,https://school.js88.com/scl_h/22038460/,113-0023,東京都　文京区向丘2-19-1,https://www.ikubunkan.ed.jp/hs/index.html
22038470,郁文館グローバル高等学校,https://school.js88.com/scl_h/22038470/,113-0023,東京都　文京区向丘2-19-1,http://www.ikubunkan.ed.jp/
22038480,桜蔭高等学校,https://school.js88.com/scl_h/22038480/,113-0033,東京都　文京区本郷1-5-25,https://www.oin.ed.jp/
22038650,岩倉高等学校,https://school.js88.com/scl_h/22038650/,110-0005,東京都　台東区上野7-8-8,http://www.tky-iwakura-h.ed.jp/
22038660,上野学園高等学校,https://school.js88.com/scl_h/22038660/,110-8642,東京都　台東区東上野4-24-12,http://www.uenogakuen.ed.jp/
22038670,安部学院高等学校,https://school.js88.com/scl_h/22038670/,114-0005,東京都　北区栄町35-4,https://www.abe-gakuin.ed.jp/
22038780,開成高等学校,https://school.js88.com/scl_h/22038780/,116-0013,東京都　荒川区西日暮里4-2-4,https://kaiseigakuen.jp/
22038830,足立学園高等学校,https://school.js88.com/scl_h/22038830/,120-0026,東京都　足立区千住旭町40-24,https://www.adachigakuen-jh.ed.jp/
22038870,愛国高等学校,https://school.js88.com/scl_h/22038870/,133-8585,東京都　江戸川区西小岩5-7-1,https://www.aikokugakuen.ac.jp/senior-high/
22038880,江戸川女子高等学校,https://school.js88.com/scl_h/22038880/,133-8552,東京都　江戸川区東小岩5-22-1,https://www.edojo.jp/
22039080,大森学園高等学校,https://school.js88.com/scl_h/22039080/,143-0015,東京都　大田区大森西3-2-12,https://www.omori-gakuen.ed.jp/
22039140,鴎友学園女子高等学校,https://school.js88.com/scl_h/22039140/,156-8551,東京都　世田谷区宮坂1-5-30,https://www.ohyu.jp/
22039470,大妻中野高等学校,https://school.js88.com/scl_h/22039470/,164-0002,東京都　中野区上高田2-3-7,https://www.otsumanakano.ac.jp/
22040000,桜美林高等学校,https://school.js88.com/scl_h/22040000/,194-0294,東京都　町田市常盤町3758,http://www.obirin.ed.jp
22040230,穎明館高等学校,https://school.js88.com/scl_h/22040230/,193-0944,東京都　八王子市館町2600,https://www.emk.ac.jp/
